segment,mean,median,max
2015-01-01-12,20.0,19.55,45.86
2015-01-02-3,19.66,20.55,41.89
2015-01-02-6,32.57,20.46,248.39
2015-01-02-9,79.18,77.98,248.73
2015-01-02-12,122.63,123.33,248.62
2015-01-02-15,41.41,24.34,197.7
2015-01-03-12,50.01,44.52,198.52
2015-01-04-3,16.12,16.23,92.84
2015-01-04-6,88.67,70.86,248.96
2015-01-04-9,163.73,170.4,249.07
2015-01-04-12,138.5,138.83,249.07
2015-01-04-15,133.05,142.18,249.07
2015-01-05-3,24.02,20.65,248.73
2015-01-05-15,23.29,19.29,99.89
2015-01-06-3,19.98,16.82,242.69
2015-01-06-6,56.19,33.15,249.07
2015-01-06-9,120.86,104.54,249.07
2015-01-06-15,66.69,71.09,197.35
2015-01-07-9,149.9,174.28,249.07
2015-01-08-6,35.84,23.15,246.57
2015-01-08-9,52.07,41.21,208.74
2015-01-08-15,45.6,37.65,218.29
2015-01-09-12,73.37,78.07,232.87
2015-01-09-15,22.09,21.96,224.57
2015-01-10-9,47.8,30.12,164.27
2015-01-10-12,69.31,71.47,138.9
2015-01-10-15,46.34,45.84,219.81
2015-01-11-6,35.76,29.12,182.17
2015-01-11-9,61.83,54.65,178.84
2015-01-11-12,58.04,58.45,198.36
2015-01-11-15,33.43,34.49,68.5
2015-01-12-12,85.2,87.07,198.21
2015-01-12-15,49.46,50.45,111.57
2015-01-13-12,84.74,81.43,234.55
2015-01-13-15,26.4,21.56,160.24
2015-01-14-9,39.94,32.34,223.83
2015-01-14-12,57.16,49.74,214.0
2015-01-15-9,30.95,22.22,188.05
2015-01-15-12,61.07,62.6,157.77
2015-01-16-9,32.97,24.1,160.17
2015-01-16-12,39.49,36.03,166.29
2015-01-17-9,33.71,22.47,225.86
2015-01-20-9,41.85,27.58,221.34
2015-01-21-12,53.77,38.95,248.27
2015-01-21-15,60.64,57.12,151.64
2015-01-22-3,15.53,15.73,42.32
2015-01-22-9,70.25,52.83,249.07
2015-01-22-12,68.9,65.44,190.82
2015-01-23-9,43.67,34.1,232.77
2015-01-23-12,35.67,23.4,206.43
2015-01-24-9,41.1,37.8,178.41
2015-01-24-12,69.78,65.6,213.11
2015-01-24-15,28.64,23.27,110.81
2015-01-25-9,24.53,18.19,161.67
