segment,mean,median,max
2018-01-01-15,21.33,18.13,104.67
2018-01-03-6,20.57,20.19,199.56
2018-01-03-15,24.12,20.16,133.7
2018-01-05-12,23.45,19.28,249.07
2018-01-05-15,21.15,17.44,248.5
2018-01-08-9,31.8,17.08,146.59
2018-01-08-12,39.9,19.48,236.19
2018-01-08-15,55.65,37.17,249.07
2018-01-09-9,27.21,15.71,214.63
2018-01-09-12,30.07,21.4,134.94
2018-01-09-15,26.01,20.45,124.93
2018-01-12-9,28.72,17.92,235.05
2018-01-13-9,60.55,53.57,239.45
2018-01-13-12,54.7,43.54,236.94
2018-01-14-6,28.96,27.29,167.36
2018-01-14-9,24.37,19.47,197.76
2018-01-14-12,30.08,30.51,59.63
2018-01-15-6,29.02,27.33,106.57
2018-01-15-9,26.21,23.84,89.1
2018-01-16-9,29.44,22.63,212.6
2018-01-19-6,43.81,42.87,223.89
2018-01-19-9,58.19,48.96,220.54
2018-01-20-6,58.86,45.04,212.02
2018-01-21-9,39.13,37.97,172.74
2018-01-21-12,72.89,64.3,239.35
2018-01-21-15,31.02,22.24,168.79
2018-01-22-6,22.52,21.41,57.09
2018-01-22-9,34.44,30.36,202.33
2018-01-24-12,28.83,24.69,94.64
2018-01-24-15,26.21,21.68,86.76
2018-01-25-3,23.33,24.23,220.95
2018-01-25-6,24.92,27.08,247.25
2018-01-25-9,45.87,35.28,232.87
2018-01-25-15,43.93,40.56,126.79
2018-01-26-3,19.53,20.63,66.69
2018-01-26-9,23.74,20.13,197.26
2018-01-27-9,23.81,25.8,86.58
2018-01-27-12,46.89,41.14,117.99
2018-01-28-3,16.63,15.51,106.38
2018-01-28-6,22.67,20.91,248.84
2018-01-28-9,43.55,29.21,237.66
2018-01-28-12,58.66,48.53,196.02
2018-01-29-3,19.95,19.13,101.61
2018-01-29-6,25.57,23.36,245.08
2018-01-29-9,95.97,87.4,249.07
2018-01-29-12,44.1,33.8,134.46
2018-01-30-15,19.31,15.38,98.91
2018-01-31-3,26.42,26.0,224.48
2018-01-31-9,161.43,166.11,249.07
2018-01-31-12,39.58,32.66,140.52
2018-01-31-15,35.68,28.91,220.59
2018-02-01-3,17.37,16.61,63.47
2018-02-01-6,23.12,22.52,198.75
2018-02-01-12,27.18,22.89,249.07
2018-02-01-15,19.72,17.55,121.01
2018-02-02-6,17.82,15.6,197.61
2018-02-02-9,26.51,21.66,156.98
2018-02-02-12,27.13,23.49,248.96
2018-02-03-9,32.32,21.59,207.08
2018-02-03-12,22.91,19.36,248.73
2018-02-05-9,38.95,27.24,226.81
2018-02-05-12,42.59,29.03,198.26
2018-02-06-9,37.43,27.84,226.3
2018-02-10-9,67.13,50.81,248.27
2018-02-10-12,39.73,29.05,202.45
2018-02-15-9,21.81,17.77,65.75
2018-02-15-12,49.42,43.49,159.32
2018-02-15-15,54.61,51.16,220.81
2018-02-17-3,22.8,21.14,189.53
2018-02-17-6,27.15,25.13,134.91
2018-02-17-9,59.64,57.97,225.4
2018-02-17-12,57.78,49.73,214.34
2018-02-18-6,17.34,17.26,38.26
2018-02-18-9,48.37,37.8,207.03
2018-02-18-12,41.28,31.12,174.21
2018-02-18-15,38.58,32.11,226.0
2018-02-19-9,21.19,15.86,63.46
2018-02-19-12,39.58,33.8,154.58
2018-02-21-9,40.09,36.1,118.51
2018-02-22-9,21.42,19.21,78.57
2018-02-22-12,17.2,16.37,45.62
2018-02-23-6,32.08,31.5,100.34
2018-02-23-9,99.18,90.95,234.67
2018-02-23-12,24.36,18.87,111.14
2018-02-24-6,39.45,26.49,247.36
2018-02-24-9,34.43,30.47,210.58
2018-02-24-12,18.99,18.0,64.47
2018-02-25-9,16.65,18.11,27.59
2018-02-26-12,26.3,25.67,65.54
2018-02-27-12,105.83,97.53,249.07
2018-02-28-12,55.39,45.46,225.7
2018-03-01-3,23.59,19.42,234.18
2018-03-01-6,27.38,27.14,211.42
2018-03-01-12,58.6,57.1,193.84
2018-03-02-3,14.18,17.84,100.88
2018-03-04-9,20.97,23.31,37.54
2018-03-04-12,21.06,23.09,42.1
2018-03-05-9,21.01,21.45,99.35
2018-03-05-12,33.04,29.72,248.73
2018-03-10-6,90.7,78.12,239.45
2018-03-10-9,51.02,48.68,199.63
2018-03-10-12,30.66,28.21,104.53
2018-03-13-9,52.08,44.66,222.41
2018-03-13-12,25.63,20.75,107.28
2018-03-14-9,17.91,16.37,76.38
2018-03-14-12,29.05,27.43,96.27
2018-03-15-9,52.58,40.87,208.7
2018-03-16-6,79.08,66.34,232.51
2018-03-16-9,74.1,62.53,235.27
2018-03-16-12,69.3,62.76,211.71
2018-03-17-9,29.97,25.2,167.24
2018-03-17-12,39.46,37.05,105.16
2018-03-18-12,85.87,60.87,230.78
2018-03-19-9,37.2,34.63,193.34
2018-03-19-12,26.75,24.33,96.53
2018-03-20-12,22.41,19.55,87.21
2018-03-25-6,80.95,67.38,248.55
2018-03-25-9,77.94,62.08,244.27
2018-03-25-12,39.83,33.93,218.02
2018-03-26-6,22.62,21.24,249.07
2018-03-26-9,76.16,59.76,239.45
2018-03-26-12,49.75,40.19,247.82
2018-03-27-6,36.21,27.07,248.5
2018-03-27-9,47.27,39.59,231.08
2018-03-27-12,38.2,35.46,243.71
2018-03-31-6,24.27,21.36,100.95
2018-04-01-6,19.24,20.23,39.53
2018-04-01-9,21.3,22.69,57.9
2018-04-04-12,33.75,25.41,246.22
2018-04-09-6,36.14,27.9,226.59
2018-04-09-9,27.31,20.09,210.16
2018-04-10-6,60.52,56.06,239.45
2018-04-10-9,58.55,42.99,238.85
2018-04-11-6,64.13,60.04,222.11
2018-04-11-9,40.11,39.74,92.89
2018-04-12-6,20.34,16.2,185.87
2018-04-12-9,35.21,32.98,188.07
2018-04-13-6,28.1,20.52,236.76
2018-04-13-9,27.3,24.68,196.46
2018-04-20-9,87.33,88.39,240.58
2018-04-21-6,42.73,40.72,239.45
2018-04-21-9,40.36,37.75,191.2
2018-04-24-9,20.9,18.62,64.73
2018-04-25-9,23.37,22.56,112.24
2018-04-26-9,71.36,62.63,239.45
2018-04-27-9,65.37,53.51,249.07
2018-04-28-9,30.5,26.81,249.07
2018-04-30-9,35.75,23.78,224.48
2018-05-01-9,48.27,41.12,224.48
2018-08-11-9,27.27,28.28,139.84
2018-08-12-9,48.66,30.63,224.48
2018-08-13-9,47.54,50.43,114.7
2018-08-15-9,34.53,18.03,162.29
2018-08-16-9,50.71,48.48,150.63
2018-08-17-9,26.02,25.15,93.83
2018-08-18-9,30.94,25.53,132.82
2018-08-19-9,18.56,16.59,61.41
2018-08-20-9,25.34,20.11,195.98
2018-08-26-9,97.6,41.24,249.07
2018-08-27-6,39.86,28.62,234.07
2018-08-27-9,29.8,28.33,107.44
2018-08-28-9,24.44,24.68,63.99
2018-08-29-9,15.83,15.88,43.99
2018-08-30-9,15.26,15.53,31.17
2018-08-31-9,15.54,15.26,40.55
2018-09-10-12,59.45,34.29,238.26
2018-09-12-9,23.13,16.14,88.48
2018-09-13-9,24.0,23.15,86.09
2018-09-13-12,25.87,19.63,115.29
2018-09-14-9,74.81,68.55,218.22
2018-09-14-12,60.5,62.97,210.11
2018-09-18-9,31.17,30.67,143.42
2018-09-22-6,21.49,18.02,106.64
2018-09-22-9,26.73,22.45,117.51
2018-09-22-12,22.73,19.95,85.85
2018-09-23-6,19.7,18.04,85.76
2018-09-23-9,19.16,17.57,82.32
2018-09-23-12,28.76,26.72,114.04
2018-09-24-6,20.17,22.35,41.82
2018-09-24-9,29.03,28.87,117.49
2018-09-25-9,30.81,22.57,108.05
2018-09-25-12,29.04,28.21,82.02
2018-09-26-6,16.67,16.38,179.11
2018-09-26-9,15.74,17.12,33.69
2018-09-26-12,27.21,23.22,116.81
2018-09-27-9,33.52,24.86,125.84
2018-09-27-12,35.41,37.25,116.96
2018-09-28-6,24.38,20.76,248.73
2018-09-29-6,64.31,43.72,249.07
2018-09-29-9,89.27,77.94,249.07
2018-09-29-12,53.68,46.6,234.07
2018-09-30-12,24.13,21.64,131.61
2018-10-01-9,86.32,82.61,249.07
2018-10-01-12,70.54,64.14,247.59
2018-10-05-9,48.75,44.45,190.64
2018-10-05-12,25.25,23.96,245.54
2018-10-10-9,54.8,56.44,240.66
2018-10-10-12,110.67,115.46,223.55
2018-10-11-9,23.52,20.64,73.08
2018-10-12-9,31.93,29.03,184.15
2018-10-15-9,20.89,21.31,65.43
2018-10-15-12,21.73,16.38,103.37
2018-10-21-12,34.15,25.54,137.44
2018-10-22-9,23.86,23.73,83.48
2018-10-23-9,43.12,32.79,119.82
2018-10-23-12,21.18,20.59,59.79
2018-10-24-3,15.67,15.84,247.13
2018-10-25-3,16.9,16.01,232.93
2018-10-25-6,20.42,18.77,248.96
2018-10-25-9,33.58,28.47,134.2
2018-10-25-12,23.0,23.8,68.06
2018-10-26-6,15.59,17.12,28.52
2018-10-26-12,16.19,18.62,30.39
2018-10-27-6,18.0,19.26,239.0
2018-10-27-12,17.02,15.92,35.84
2018-10-28-6,14.83,15.14,220.37
2018-10-28-9,14.96,15.68,169.71
2018-10-28-12,15.66,16.44,27.93
2018-10-31-12,20.79,17.01,241.43
2018-11-01-6,21.74,18.64,138.36
2018-11-01-9,75.16,73.95,226.31
2018-11-05-6,105.65,100.61,230.27
2018-11-05-9,73.55,54.33,246.91
2018-11-05-12,55.96,53.26,228.39
2018-11-05-15,75.22,63.12,239.45
2018-11-06-9,45.22,46.95,102.43
2018-11-06-12,39.54,38.7,87.92
2018-11-07-6,23.89,22.86,86.32
2018-11-08-9,26.93,15.42,212.36
2018-11-10-9,40.82,35.64,176.64
2018-11-12-6,29.37,26.34,163.74
2018-11-12-9,21.99,22.93,48.96
2018-11-19-6,18.47,20.23,48.68
2018-11-20-3,17.38,19.18,245.31
2018-11-20-6,16.42,17.74,28.65
2018-11-20-9,26.61,24.99,99.97
2018-11-21-3,16.88,18.64,28.52
