segment,mean,median,max
2014-01-01-6,28.52,21.23,206.09
2014-01-01-9,75.32,68.36,211.63
2014-01-01-12,95.15,92.61,229.28
2014-01-01-15,20.71,18.83,82.8
2014-01-02-6,37.32,30.3,239.45
2014-01-02-9,47.68,47.68,121.38
2014-01-02-12,52.93,48.07,176.15
2014-01-02-15,38.25,36.31,95.81
2014-01-03-6,36.57,28.34,225.68
2014-01-03-9,52.5,46.89,220.32
2014-01-03-12,25.59,20.97,145.97
2014-01-03-15,36.93,26.82,190.3
2014-01-04-9,34.43,27.53,196.45
2014-01-04-12,30.79,20.13,116.68
2014-01-07-15,44.08,32.37,246.91
2014-01-08-3,17.06,17.64,242.4
2014-01-09-3,16.62,18.4,27.97
2014-01-09-6,19.25,20.48,49.06
2014-01-09-9,36.17,35.88,108.87
2014-01-09-12,23.78,20.01,73.97
2014-01-10-6,17.38,16.77,246.79
2014-01-10-9,16.55,17.19,61.99
2014-01-10-15,24.57,19.92,134.99
2014-01-11-6,17.91,15.92,249.07
2014-01-12-6,17.93,15.7,248.27
2014-01-12-9,49.53,29.64,249.07
2014-01-12-12,47.63,40.72,205.15
2014-01-13-6,22.23,18.0,194.82
2014-01-13-9,40.31,27.23,249.07
2014-01-14-15,29.27,22.44,186.97
2014-01-15-3,14.24,17.85,33.52
2014-01-15-15,21.42,17.35,58.77
2014-01-16-15,20.0,17.93,64.64
2014-01-17-15,16.39,15.12,48.67
2014-01-18-12,15.52,17.33,26.07
2014-01-18-15,15.78,17.56,53.26
2014-01-19-9,15.05,17.32,26.32
2014-01-20-9,25.26,22.16,154.83
2014-01-20-12,19.37,17.7,246.91
2014-01-20-15,18.43,19.36,211.47
2014-01-21-9,39.67,22.95,132.74
2014-01-21-12,62.88,67.07,117.69
2014-01-21-15,36.81,34.99,103.3
2014-01-22-6,18.46,16.55,68.26
2014-01-22-9,46.8,37.56,159.44
2014-01-22-12,51.85,50.77,134.54
2014-01-22-15,19.7,18.84,87.84
2014-01-25-12,22.04,15.97,109.47
2014-01-25-15,26.13,18.45,197.5
2014-01-26-6,27.58,22.18,201.01
2014-01-29-9,45.72,31.75,228.09
2014-01-29-15,24.64,19.15,151.3
2014-02-03-15,31.23,22.45,209.54
2014-02-06-3,16.57,17.36,31.15
2014-02-06-6,19.21,19.87,49.02
2014-02-06-9,74.55,70.66,229.98
2014-02-06-12,93.44,88.4,224.8
2014-02-06-15,23.76,19.96,209.21
2014-02-07-6,14.6,15.18,65.92
2014-02-07-9,29.4,22.32,201.56
2014-02-08-3,29.6,25.56,236.42
2014-02-08-6,95.52,85.5,249.07
2014-02-08-9,69.27,44.59,243.37
2014-02-08-12,40.99,26.45,218.78
2014-02-08-15,48.71,40.86,167.81
2014-02-09-3,20.5,17.75,203.22
2014-02-09-6,57.61,43.3,248.5
2014-02-09-9,20.31,20.95,139.85
2014-02-09-12,45.61,21.28,234.02
2014-02-09-15,38.38,29.93,235.3
2014-02-10-6,29.51,23.75,248.96
2014-02-10-9,35.79,23.63,239.45
2014-02-11-6,21.87,18.69,248.5
2014-02-11-9,28.44,20.89,221.54
2014-02-12-3,14.77,20.01,38.51
2014-02-12-12,21.51,21.99,114.42
2014-02-13-3,15.92,19.12,51.21
2014-02-13-12,15.7,16.87,31.27
2014-02-15-3,16.68,18.68,97.7
2014-02-15-6,19.1,19.84,35.4
2014-02-16-6,14.85,15.1,27.85
2014-02-16-12,20.83,22.74,40.26
2014-02-17-12,18.47,15.57,248.16
2014-02-18-9,19.86,19.79,122.23
2014-02-18-12,19.99,20.28,224.14
2014-02-19-6,91.64,94.59,248.84
2014-02-19-9,103.25,72.55,249.07
2014-02-19-12,107.52,112.07,249.07
2014-02-20-3,58.35,35.21,249.07
2014-02-20-6,105.86,96.86,249.07
2014-02-20-9,98.02,85.24,248.96
2014-02-20-12,74.23,35.64,249.07
2014-02-21-6,25.74,21.29,169.37
2014-02-21-9,93.49,96.53,232.61
2014-02-21-12,79.4,80.11,234.78
2014-02-22-6,26.97,19.66,230.46
2014-02-22-9,62.2,47.48,239.45
2014-02-22-12,44.9,38.11,193.31
2014-02-23-9,79.12,63.56,248.73
2014-02-23-12,80.53,78.03,214.31
2014-02-24-9,33.28,25.23,209.31
2014-02-25-12,32.3,22.19,223.6
2014-02-27-12,73.46,69.39,224.27
2014-02-28-9,71.18,52.03,249.07
2014-03-01-6,32.92,26.76,206.1
2014-03-01-9,78.45,69.49,240.64
2014-03-01-12,28.0,15.47,158.34
2014-03-03-6,23.48,15.69,204.41
2014-03-03-9,40.82,30.37,234.82
2014-03-03-12,57.57,45.47,222.15
2014-03-04-9,43.13,27.36,248.96
2014-03-04-12,24.66,20.83,183.95
2014-03-06-12,29.57,26.58,159.19
2014-03-10-9,52.45,32.37,249.07
2014-03-10-12,25.72,17.98,139.78
2014-03-11-6,14.91,17.1,222.71
2014-03-11-9,16.89,18.25,54.6
2014-03-11-12,28.81,22.95,113.78
2014-03-12-9,14.86,16.59,68.59
2014-03-13-9,101.63,105.49,249.07
2014-03-13-12,59.87,62.3,113.74
2014-03-14-6,20.44,15.07,232.28
2014-03-14-12,94.28,89.58,222.24
2014-03-16-6,19.15,17.07,224.45
2014-03-16-9,26.68,22.25,249.07
2014-03-16-12,16.28,15.06,222.27
2014-03-17-9,17.35,16.81,247.7
2014-03-17-12,22.21,17.12,249.07
